iter	Passed	Remaining
0	58	58101
1	58	29328
2	59	19739
3	59	14888
4	60	12005
5	61	10119
6	61	8726
7	62	7691
8	62	6888
9	63	6243
10	63	5708
11	64	5271
12	64	4889
13	64	4573
14	65	4302
15	65	4053
16	66	3846
17	67	3657
18	67	3487
19	68	3332
20	68	3190
21	68	3060
22	69	2950
23	69	2840
24	70	2743
25	70	2650
26	71	2579
27	71	2497
28	72	2436
29	73	2377
30	73	2309
31	74	2252
32	75	2198
33	75	2144
34	76	2098
35	76	2054
36	77	2011
37	78	1976
38	78	1931
39	78	1890
40	79	1858
41	81	1850
42	81	1820
43	82	1786
44	82	1757
45	83	1726
46	83	1697
47	84	1670
48	84	1643
49	85	1623
50	85	1597
51	86	1575
52	86	1552
53	94	1649
54	94	1626
55	95	1606
56	95	1585
57	96	1565
58	96	1546
59	97	1529
60	98	1511
61	98	1492
62	99	1476
63	99	1460
64	100	1447
65	101	1434
66	101	1417
67	102	1400
68	102	1385
69	103	1369
70	103	1356
71	104	1341
72	104	1327
73	105	1318
74	105	1307
75	106	1296
76	107	1283
77	107	1270
78	108	1259
79	108	1250
80	109	1239
81	109	1231
82	110	1218
83	110	1209
84	112	1207
85	112	1198
86	113	1187
87	113	1180
88	114	1173
89	114	1162
90	115	1153
91	116	1148
92	117	1141
93	118	1138
94	118	1130
95	119	1124
96	119	1116
97	120	1108
98	120	1100
99	121	1091
100	121	1084
101	122	1076
102	122	1068
103	122	1059
104	123	1051
105	124	1046
106	124	1042
107	125	1036
108	125	1029
109	126	1023
110	127	1017
111	128	1016
112	128	1010
113	129	1004
114	129	999
115	130	991
116	130	984
117	130	977
118	131	971
119	132	968
120	132	963
121	133	958
122	134	955
123	134	950
124	135	946
125	135	941
126	136	935
127	136	930
128	137	927
129	137	922
130	138	916
131	138	912
132	140	914
133	140	910
134	141	906
135	141	901
136	142	896
137	143	893
138	143	890
139	144	885
140	145	886
141	145	880
142	146	876
143	149	888
144	150	885
145	150	882
146	151	878
147	152	875
148	152	871
149	153	867
150	153	865
151	154	861
152	154	857
153	155	853
154	155	849
155	156	845
156	156	841
157	157	838
158	157	834
159	158	830
160	158	825
161	158	821
162	159	818
163	160	819
164	161	816
165	161	812
166	162	809
167	162	806
168	163	803
169	164	803
170	165	800
171	165	797
172	166	794
173	166	790
174	167	788
175	167	784
176	168	782
177	169	781
178	169	779
179	170	776
180	171	773
181	171	771
182	172	768
183	172	765
184	172	761
185	173	758
186	173	756
187	174	753
188	174	750
189	175	747
190	175	744
191	176	742
192	176	739
193	177	736
194	177	734
195	178	731
196	178	729
197	179	727
198	180	727
199	181	724
200	182	725
201	183	723
202	183	720
203	183	717
204	186	723
205	187	721
206	187	718
207	188	716
208	188	714
209	189	712
210	189	709
211	190	706
212	190	704
213	191	702
214	191	700
215	192	698
216	193	696
217	193	695
218	194	692
219	194	690
220	195	687
221	195	685
222	195	682
223	196	680
224	197	678
225	197	676
226	198	674
227	198	672
228	199	670
229	199	668
230	200	666
231	200	664
232	201	662
233	201	661
234	202	659
235	203	658
236	204	657
237	205	657
238	205	655
239	206	653
240	206	651
241	207	649
242	207	647
243	208	645
244	209	644
245	209	642
246	210	640
247	210	638
248	211	636
249	211	635
250	212	633
251	212	631
252	213	630
253	214	628
254	214	627
255	215	625
256	216	624
257	216	623
258	217	621
259	217	619
260	218	617
261	218	616
262	219	615
263	220	613
264	220	611
265	220	609
266	221	607
267	222	606
